物料编码,物料全称,物料简称,上级物料编码,级别,是否为叶子结点,排序号
0409080086000013,动力用气肥煤5000\0.6≤St.ar<1.0 8≤Mt<12,动力用气肥煤5000\0.6≤St.ar<1.0 8≤Mt<12,0400000099000003,3,TRUE,100
0409080086509175,动力用气肥煤5000\St.ar<0.6 8≤Mt<12,动力用气肥煤5000\St.ar<0.6 8≤Mt<12,0400000099000003,3,TRUE,105
0409100086000022,动力用气肥煤4500\0.6≤St.ar<1.0 8≤Mt<12,动力用气肥煤4500\0.6≤St.ar<1.0 8≤Mt<12,0400000099000003,3,TRUE,110
0400000099000008,原料煤,原料煤,0400000099000002,2,FALSE,115
0415060086000019,原料用长焰煤5500\St.ar<0.6 15≤Mt<20,原料用长焰煤5500\St.ar<0.6 15≤Mt<20,0400000099000008,3,TRUE,120
0500000060091084,原油及天然气,原油及天然气,,1,FALSE,125
0501000060000005,原油,原油,0500000060091084,2,FALSE,130
0501020060000006,石化集团原油,中国石化,0501000060000005,3,FALSE,135
0501020060000017,田东原油,田东,0501020060000006,4,TRUE,140
0501990060169772,页岩原油,页岩油,0501020060000006,4,TRUE,145
0501020060000007,胜利原油,胜利,0501020060000006,4,TRUE,150
0501020060000018,鲁宁管输原油,鲁宁管输,0501020060000006,4,TRUE,155
0501000099000009,孤岛原油,孤岛,0501020060000006,4,TRUE,160
0501000099000010,任丘原油,任丘,0501020060000006,4,TRUE,165
0501040060000020,石油集团原油,中国石油,0501000060000005,3,FALSE,170
0501040060000021,大庆原油,大庆,0501040060000020,4,TRUE,175
0501060060000037,海洋原油,中国海洋,0501000060000005,3,FALSE,180
0501060060000038,惠州原油,惠州,0501060060000037,4,TRUE,185
0501060060000039,涠洲原油,涠洲,0501060060000037,4,TRUE,190
0501060060000040,陆丰原油,陆丰,0501060060000037,4,TRUE,195
0501060060000041,西江原油,西江,0501060060000037,4,TRUE,200
0501060060020061,文昌原油,文昌,0501060060000037,4,TRUE,205
0501060060045055,番禺原油,番禺,0501060060000037,4,TRUE,210
0501060060080147,渤南原油,渤南,0501060060000037,4,TRUE,215
0501060060163080,西江23-1原油,西江23-1,0501060060000037,4,TRUE,220
0501060060164335,新文昌原油,新文昌,0501060060000037,4,TRUE,225
0501080060000047,进口原油,进口原油,0501000060000005,3,FALSE,230
0501000099000011,南亚原油,南亚原油,0501080060000047,4,FALSE,235
0501080060000048,印尼原油,印尼,0501000099000011,5,FALSE,240
0501080060000049,阿伦比原油,阿伦比,0501080060000048,5,TRUE,245
